time_s,ring1_x,ring1_y,ring1_z,ring1_dist,ring2_x,ring2_y,ring2_z,ring2_dist,ring3_x,ring3_y,ring3_z,ring3_dist,ring4_x,ring4_y,ring4_z,ring4_dist,ring5_x,ring5_y,ring5_z,ring5_dist,ring6_x,ring6_y,ring6_z,ring6_dist,ring7_x,ring7_y,ring7_z,ring7_dist,ring8_x,ring8_y,ring8_z,ring8_dist,ring9_x,ring9_y,ring9_z,ring9_dist,ring10_x,ring10_y,ring10_z,ring10_dist
2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.400000000000000244e-01,8.940697071579961630e-10,0.000000000000000000e+00,0.000000000000000000e+00,3.800000000000000044e-01,1.788139358804841095e-09,0.000000000000000000e+00,0.000000000000000000e+00,4.199999999999999845e-01,2.682209010451686026e-09,0.000000000000000000e+00,0.000000000000000000e+00,4.600000000000000200e-01,3.576278717609682190e-09,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,2.980232172156149772e-09,0.000000000000000000e+00,0.000000000000000000e+00,5.400000000000000355e-01,5.364418131925674516e-09,0.000000000000000000e+00,0.000000000000000000e+00,5.799999999999999600e-01,1.192092868862459909e-09,0.000000000000000000e+00,0.000000000000000000e+00,6.199999999999999956e-01,7.152557435219364379e-09,0.000000000000000000e+00,0.000000000000000000e+00,6.600000000000000311e-01,1.430511464839412383e-08,0.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,5.960464455334602007e-09
4.000000000000000083e-03,-1.008500880247389943e-16,1.750259241209373136e-14,3.400000744596397562e-01,7.535370943889880787e-08,-4.086129278269101348e-16,-1.871597402307206138e-14,3.800001950805421691e-01,1.968686815234663300e-07,-9.080704487431220203e-16,-2.085030291181638524e-15,4.200002984338500056e-01,3.011160590316031005e-07,-1.580271845796320968e-15,-3.190626437954817942e-15,4.600003757902931811e-01,3.793665718787586627e-07,-2.399662245608359687e-15,1.403949845642687320e-14,5.000000500391824643e-01,4.705895029211418986e-08,-3.325402442581833978e-15,1.422467741788097003e-14,5.400005432849663833e-01,5.486493844797382011e-07,-4.282042611773139205e-15,1.531401739628222396e-14,5.800006781863005223e-01,6.769942076934045602e-07,9.898990527978860513e-15,-9.289251690919958265e-15,6.200008488723220967e-01,8.560248795363991533e-07,-5.910221562459003033e-15,-1.600428611090095911e-14,6.600010284099600000e-01,1.014104845320496152e-06,-7.215485864235170148e-15,2.456296913593890008e-15,7.000022493379002286e-01,2.243377435817706100e-06
6.000000000000000125e-03,-6.772126361058858164e-10,-7.863984443587673705e-09,3.400001980175293426e-01,1.989612667948532190e-07,-1.700602958719660331e-09,-2.753623932289806108e-08,3.800005188452740823e-01,5.208679078066110620e-07,-1.641232085459084010e-09,-5.425458307709798560e-08,4.200007938249028516e-01,7.971225932294277308e-07,-3.334139980701672333e-10,-8.127799900914645165e-08,4.600009997294617348e-01,1.004451947106963261e-06,-1.945507024153377457e-09,-1.002815790030505816e-07,5.000001629918808810e-01,1.713495719420312803e-07,-5.560642709844989886e-09,-9.912197524370475387e-08,5.400014458705311160e-01,1.452678201968108361e-06,-9.772446856376894912e-09,-6.410292962241097547e-08,5.800018054224604924e-01,1.804953506838720151e-06,-1.397124894195285012e-08,2.065676937041619664e-08,6.200022607380225592e-01,2.267924035712987834e-06,-1.810168223490113250e-08,1.708082672850826686e-07,6.600027404223145489e-01,2.726796881776378012e-06,-2.101301885094961113e-08,4.808668141501811923e-07,7.000064682638740265e-01,6.467292698606708826e-06
8.000000000000000167e-03,7.431708814042918290e-10,-2.867048024587303019e-08,3.400003510957430031e-01,3.523417045942205366e-07,2.657527907825096930e-09,-1.011321602153205463e-07,3.800009200238750884e-01,9.235242460732148784e-07,4.288432043047148745e-09,-1.922823842295024562e-07,4.200014077880904195e-01,1.414685833529178483e-06,4.197647014665884706e-09,-2.721203722591350166e-07,4.600017731744704963e-01,1.783874080378266467e-06,-2.790385031185324491e-09,-3.066968457045476624e-07,5.000003500317923288e-01,3.953828256629621674e-07,-1.317750363770180494e-08,-2.692254388188185488e-07,5.400025653984491525e-01,2.577579799447589774e-06,-2.245476668016824388e-08,-1.283825208977133353e-07,5.800032042446404690e-01,3.205981386004553984e-06,-3.055590241840905121e-08,1.655763183237240697e-07,6.200040139024897146e-01,4.021083867709302376e-06,-3.731991633787524776e-08,6.627285001629311988e-07,6.600048681628007952e-01,4.858247405822943582e-06,-3.896268218980517514e-08,1.650606551965036142e-06,7.000123814177977577e-01,1.240041911271677768e-05
1.000000000000000021e-02,1.127533490208968332e-09,-6.467808178879851351e-08,3.400005189017781815e-01,5.209411753468204250e-07,3.328384378590150167e-09,-2.252465068945939928e-07,3.800013598671635462e-01,1.367119127291442264e-06,4.175915390255707302e-09,-4.156263017671537158e-07,4.200020810523343862e-01,2.096545994323689343e-06,7.781328638876367980e-10,-5.624479648670612895e-07,4.600026215090440851e-01,2.645386763677265161e-06,-1.286698877176688813e-08,-5.848274609113974729e-07,5.000006205366241963e-01,7.197867583576491874e-07,-3.014240908082373248e-08,-4.445389351197603839e-07,5.400037940446590357e-01,3.815115424515867791e-06,-4.271592461163993596e-08,-9.573743774176998171e-08,5.800047401065703268e-01,4.744595293540760273e-06,-5.166455265078252965e-08,5.613453928337691996e-07,6.200059400394617448e-01,5.947227254374560903e-06,-5.749886369219671771e-08,1.624462628641300747e-06,6.600072078499551465e-01,7.207349793143531538e-06,-5.376154327612756447e-08,3.644223992071887666e-06,7.000197204919257343e-01,1.977578571626697113e-05
1.200000000000000025e-02,4.170321257190218995e-10,-1.143847048180318624e-07,3.400006905487035214e-01,6.939759276424646104e-07,7.380326185654494825e-10,-3.921273406845886416e-07,3.800018098472662809e-01,1.823411219068594762e-06,-1.201074060519980376e-09,-7.048772023315542232e-07,4.200027699656672664e-01,2.799256587839390375e-06,-9.760451566035530017e-09,-9.154796298646549054e-07,4.600034897492093489e-01,3.533507431943790460e-06,-3.127072524314709830e-08,-8.747949666013959618e-07,5.000009820295595597e-01,1.136128631941635735e-06,-5.533562275971983013e-08,-5.404964858083282106e-07,5.400050522416049992e-01,5.083480736416347305e-06,-6.922675259222597031e-08,1.402037213263643850e-07,5.800063136109221418e-01,6.320079740244941223e-06,-7.525563942365049981e-08,1.329315323195220682e-06,6.200079146145757170e-01,7.922364223239528294e-06,-7.563390367654434569e-08,3.182357560197238411e-06,6.600096083819335657e-01,9.625075816035946294e-06,-6.239716519553600985e-08,6.549470979752163147e-06,7.000282265567492335e-01,2.833015006891504965e-05
1.400000000000000029e-02,-3.558904685066438184e-10,-1.739743513503888066e-07,3.400008582925067024e-01,8.636055254383590401e-07,-1.981360563641207163e-09,-5.870513955993582210e-07,3.800022496645192316e-01,2.271497095533603151e-06,-7.045952228944160879e-09,-1.029414178624579033e-06,4.200034434507499692e-01,3.490110986255657082e-06,-2.140819703219477814e-08,-1.281897785351344260e-06,4.600043387258080929e-01,4.406178847827118652e-06,-5.139632209716632164e-08,-1.108453984316038159e-06,5.000014401526646779e-01,1.636389318547054024e-06,-8.266147459984250207e-08,-4.716253344637022149e-07,5.400062832134511215e-01,6.323321903669968783e-06,-9.825167443014821940e-08,6.792551827777925054e-07,5.800078537399727674e-01,7.860599298271670954e-06,-1.018698690900246200e-07,2.577167300059166986e-06,6.200098484783826969e-01,9.858278523787876416e-06,-9.733022813715310204e-08,5.442887006796048017e-06,6.600119613364904270e-01,1.200401835668476754e-05,-7.527372468400939390e-08,1.043547715419977548e-05,7.000376520689073345e-01,3.780979363065285070e-05
1.600000000000000033e-02,-9.600655966638401944e-10,-2.392580805195623433e-07,3.400010168795612464e-01,1.024370711756182568e-06,-4.177702939214873274e-09,-7.946632105964805428e-07,3.800026655402544695e-01,2.696594064734564554e-06,-1.223375013983003390e-08,-1.358783358800358044e-06,4.200040803989213423e-01,4.145752642257095805e-06,-3.250505418814719629e-08,-1.615145227480616081e-06,4.600051418135474024e-01,5.233495651953918717e-06,-7.125996606752144307e-08,-1.225332642615067869e-06,5.000019986699140162e-01,2.218712347928693736e-06,-1.102831016536977611e-07,-1.647250639643513560e-07,5.400074482857547542e-01,7.494448888877886203e-06,-1.287928394966576683e-07,1.607404455410094199e-06,5.800093120385385603e-01,9.317740027681953207e-06,-1.317906319242815879e-07,4.401785510540824709e-06,6.200116806718753981e-01,1.169506095872874405e-05,-1.244248722343686329e-07,8.509988229166897062e-06,6.600141923402502719e-01,1.427029883261063831e-05,-9.599496342024007584e-08,1.538648973015779186e-05,7.000477625605336929e-01,4.797536787470498291e-05
1.800000000000000211e-02,-1.466327112179413903e-09,-3.062277639081378460e-07,3.400011629952960357e-01,1.172724144804494244e-06,-6.098480283596102183e-09,-1.000499510533648030e-06,3.800030487747665942e-01,3.088954894026187348e-06,-1.707012164780307436e-08,-1.664800075123776169e-06,4.200046674694937199e-01,4.750678714251746418e-06,-4.325744546429636639e-08,-1.873018312348679462e-06,4.600058821668003284e-01,5.995784646935326647e-06,-9.096163121593281455e-08,-1.172038793373589567e-06,5.000026594974369409e-01,2.885099635505071102e-06,-1.382607213798357688e-07,4.440322074893220382e-07,5.400085229154892863e-01,8.571745953858775114e-06,-1.609430260589051881e-07,3.000014662797194487e-06,5.800106576844116235e-01,1.066124943600572834e-05,-1.650493210445559820e-07,6.889984236977757328e-06,6.200133722929366265e-01,1.339475491602200210e-05,-1.568534191163526209e-07,1.248095428232326121e-05,6.600162537253299044e-01,1.637626743532869447e-05,-1.246536935913502789e-07,2.149365451165773759e-05,7.000583380184993709e-01,5.860354373532647920e-05
2.000000000000000042e-02,-1.968527604051929429e-09,-3.714581519480979359e-07,3.400012948051943651e-01,1.306636264410087143e-06,-8.052544195827482287e-09,-1.192222274207858187e-06,3.800033945464648677e-01,3.442930680003894669e-06,-2.202572346296994734e-08,-1.923456558040258683e-06,4.200051972559530333e-01,5.295887026195721079e-06,-5.419844112439833404e-08,-2.019582995066406478e-06,4.600065504149182805e-01,6.681804633060631778e-06,-1.110325582486863029e-07,-9.030682579398131540e-07,5.000034227584982949e-01,3.639249860121941671e-06,-1.670442869114934535e-07,1.409762016652391234e-06,5.400094933762585869e-01,9.541657578957325650e-06,-1.949433861696285895e-07,4.923549553424225472e-06,5.800118733673735871e-01,1.187463330394104766e-05,-2.015292063358034958e-07,1.012076546579831259e-05,6.200149013689747468e-01,1.493611434668259863e-05,-1.940700038325855573e-07,1.744823149509519092e-05,6.600181183656493866e-01,1.829452746729398537e-05,-1.603805077128953509e-07,2.885442957986975553e-05,7.000691739668172264e-01,6.948802531946314271e-05
